Bank_Product_Type,Bank_Product_Name,Balance,Bank_Offer_Feature,Term in Months,Interest_Type,Interest,AER,Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Code
Savings,Instant Saver,"1 - 24,999",Bank_Offer_Feature,,Variable,,0.10%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Instant Saver,"25,000 - 999,999",Bank_Offer_Feature,,Variable,,0.20%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Instant Saver,1m,Bank_Offer_Feature,,Variable,,0.25%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Savings Builder,above 1,Bank_Offer_Feature,,Variable,,0.10%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Savings Builder,"1 - 5,000",Bank_Offer_Feature,,Variable,,1.50%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Savings Builder,"5,001 - 10,000",Bank_Offer_Feature,,Variable,,1.00%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Savings Builder,"10,000",Bank_Offer_Feature,,Variable,,0.20%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Savings Builder,above 1,Bank_Offer_Feature,,Variable,,0.00%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Savings Builder,"1 - 5,000",Bank_Offer_Feature,,Variable,,1.50%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Savings Builder,"5,001 - 10,000",Bank_Offer_Feature,,Variable,,1.00%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Savings Builder,"10,000",Bank_Offer_Feature,,Variable,,0.20%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Premium Saver,above 1,Bank_Offer_Feature,,Variable,,0.10%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Premium Saver,"1 - 24,999",Bank_Offer_Feature,,Variable,,0.10%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Premium Saver,"25,000 - 49,999",Bank_Offer_Feature,,Variable,,0.50%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Premium Saver,"50,000 - 1",Bank_Offer_Feature,,Variable,,0.75%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Premium Saver,above 1,Bank_Offer_Feature,,Variable,,0.10%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Help to Buy ISA,above 1,Bank_Offer_Feature,,Variable,,2.00%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Help to Buy ISA,above 1,Bank_Offer_Feature,,Variable,,1.98%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Cash ISA,"10,000",Bank_Offer_Feature,,Variable,,0.10%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Cash ISA,"10,000 - 24,999",Bank_Offer_Feature,,Variable,,0.25%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Cash ISA,"25,000 - 49,999",Bank_Offer_Feature,,Variable,,0.50%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Savings,Cash ISA,"50,000",Bank_Offer_Feature,,Variable,,0.75%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Term Deposits,Fixed Rate ISA,"1,000 - 24,999",Bank_Offer_Feature,12.0,Fixed,,1.00%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Term Deposits,Fixed Rate ISA,"above 25,000",Bank_Offer_Feature,12.0,Fixed,,1.10%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Term Deposits,Fixed Rate ISA,"1,000 - 24,999",Bank_Offer_Feature,24.0,Fixed,,1.15%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Term Deposits,Fixed Rate ISA,"above 25,000",Bank_Offer_Feature,24.0,Fixed,,1.25%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Term Deposits,1 Year Fixed Rate,"5,000 - 49,999",Bank_Offer_Feature,12.0,Fixed,,0.90%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Term Deposits,1 Year Fixed Rate,"50,000 - 500,000",Bank_Offer_Feature,12.0,Fixed,,0.95%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Term Deposits,2 Year Fixed Rate,"5,000 - 49,999",Bank_Offer_Feature,24.0,Fixed,1.00%,1.00%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
Term Deposits,2 Year Fixed Rate,"50,000 - 500,000",Bank_Offer_Feature,24.0,Fixed,1.05%,1.06%,03-19-2018,UK,London,NatWest,GBP,Bank,Deposits,
