Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Balance,Bank_Offer_Feature,Term in Months,Interest_Type,Interest,AER,Bank_Product_Code
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Savings,Instant Saver,1-24999,Offline,,Variable,0.10%,,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Savings,Instant Saver,25000-99999,Offline,,Variable,0.20%,,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Savings,Instant Saver,100000,Offline,,Variable,0.25%,,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Savings,Instant Access ISA,1-24999,Offline,,Variable,0.25%,,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Savings,Instant Access ISA,25000,Offline,,Variable,0.75%,,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Term Deposits,Fixed Rate ISA 1 year fixed,1000-24999,Offline,12.0,Fixed,1.00%,,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Term Deposits,Fixed Rate ISA 1 year fixed,25000,Offline,12.0,Fixed,1.10%,,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Term Deposits,Fixed Rate ISA 2 year fixed,1000-24999,Offline,24.0,Fixed,1.15%,,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Term Deposits,Fixed Rate ISA 2 year fixed,25000,Offline,24.0,Fixed,1.25%,,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Term Deposits,Fixed Term Savings Account 1 year fixed,5000-49999,Offline,12.0,Fixed,0.90%,0.90%,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Term Deposits,Fixed Term Savings Account 1 year fixed,50000-500000,Offline,12.0,Fixed,0.95%,0.95%,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Term Deposits,Fixed Term Savings Account 2 year fixed,5000-49999,Offline,24.0,Fixed,1.00%,1.00%,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Term Deposits,Fixed Term Savings Account 2 year fixed,50000-500000,Offline,24.0,Fixed,1.05%,1.06%,
03-19-2018,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Current,An everyday bank account ,,Offline,,,,,
